dep;ARTHAUD;POUTOU;ROUSSEL;MELENCHON;JADOT;HIDALGO;LASSALLE;MACRON;PECRESSE;ZEMMOUR;DUPONTAIGNAN;MLEPEN
Ain,12,11,9,3,6,10,7,1,5,4,8,2
Aisne,12,11,8,3,6,10,7,2,5,4,9,1
Allier,12,11,6,3,8,10,7,2,5,4,9,1
Alpes-de-Haute-Provence,12,11,8,2,6,10,5,3,7,4,9,1
Hautes-Alpes,12,11,9,2,5,10,7,1,6,4,8,3
Alpes-Maritimes,12,11,9,3,6,10,8,2,5,4,7,1
Ardèche,12,11,8,3,7,10,6,2,5,4,9,1
Ardennes,12,11,8,3,7,10,6,2,5,4,9,1
Ariège,12,11,9,1,7,6,4,3,8,5,10,2
Aube,12,11,9,3,6,10,8,2,5,4,7,1
Aude,12,11,9,3,7,8,5,2,6,4,10,1
Aveyron,12,11,8,3,7,9,4,1,6,5,10,2
Bouches-du-Rhône,12,11,7,1,5,10,8,3,6,4,9,2
Calvados,12,11,8,3,5,10,7,1,6,4,9,2
Cantal,12,11,8,3,7,9,5,1,4,6,10,2
Charente,12,11,8,3,7,10,5,1,6,4,9,2
Charente-Maritime,12,11,8,3,6,10,7,1,5,4,9,2
Cher,12,11,6,3,8,10,7,2,5,4,9,1
Corrèze,12,11,7,3,8,9,5,1,4,6,10,2
Côte-d'Or,12,11,9,3,6,10,7,1,5,4,8,2
Côtes-d'Armor,12,11,8,3,4,9,7,1,6,5,10,2
Creuse,12,11,7,3,8,9,5,2,4,6,10,1
Dordogne,12,11,7,3,8,10,4,2,6,5,9,1
Doubs,12,11,9,3,6,10,7,1,5,4,8,2
Drôme,12,11,9,3,5,10,7,1,6,4,8,2
Eure,12,11,9,3,6,10,7,2,5,4,8,1
Eure-et-Loir,12,11,9,3,6,10,8,2,5,4,7,1
Finistère,12,11,8,2,4,9,7,1,5,6,10,3
Corse-du-Sud,12,11,8,3,7,10,5,2,6,4,9,1
Haute-Corse,12,11,7,3,8,10,5,2,6,4,9,1
Gard,12,11,8,2,7,10,6,3,5,4,9,1
Haute-Garonne,12,11,9,2,5,8,6,1,7,4,10,3
Gers,12,11,9,3,7,8,4,1,6,5,10,2
Gironde,12,11,8,2,5,9,6,1,7,4,10,3
Hérault,12,11,8,2,5,9,7,3,6,4,10,1
Ille-et-Vilaine,12,11,9,2,4,8,7,1,6,5,10,3
Indre,12,11,8,3,7,10,6,2,5,4,9,1
Indre-et-Loire,12,11,8,3,6,10,7,1,5,4,9,2
Isère,12,11,8,3,5,10,7,1,6,4,9,2
Jura,12,11,9,3,6,10,7,2,5,4,8,1
Landes,12,11,9,3,8,7,4,1,6,5,10,2
Loir-et-Cher,12,11,8,3,6,10,7,1,5,4,9,2
Loire,12,11,9,3,6,10,7,1,5,4,8,2
Haute-Loire,12,11,8,3,7,10,6,2,4,5,9,1
Loire-Atlantique,12,11,8,2,4,7,9,1,6,5,10,3
Loiret,12,11,9,3,6,10,7,1,5,4,8,2
Lot,12,11,8,2,7,9,4,1,6,5,10,3
Lot-et-Garonne,12,11,8,3,7,10,5,2,6,4,9,1
Lozère,12,11,8,3,7,9,4,1,6,5,10,2
Maine-et-Loire,12,11,10,3,4,9,7,1,6,5,8,2
Manche,12,11,8,3,6,10,7,1,4,5,9,2
Marne,12,11,9,3,6,10,7,2,5,4,8,1
Haute-Marne,12,11,9,3,8,10,6,2,5,4,7,1
Mayenne,12,11,10,3,6,9,7,1,4,5,8,2
Meurthe-et-Moselle,12,11,8,3,5,10,7,2,6,4,9,1
Meuse,12,11,9,3,7,10,6,2,5,4,8,1
Morbihan,12,11,8,3,4,10,7,1,6,5,9,2
Moselle,12,11,9,3,6,10,7,2,5,4,8,1
Nièvre,12,11,6,3,8,10,7,2,5,4,9,1
Nord,12,11,6,3,5,10,8,2,7,4,9,1
Oise,12,11,9,3,6,10,8,2,5,4,7,1
Orne,12,11,9,3,6,10,7,1,5,4,8,2
Pas-de-Calais,11,12,5,3,7,10,8,2,6,4,9,1
Puy-de-Dôme,12,11,8,3,6,9,7,1,5,4,10,2
Pyrénées-Atlantiques,12,11,8,2,6,9,4,1,7,5,10,3
Hautes-Pyrénées,12,11,8,3,6,9,4,1,7,5,10,2
Pyrénées-Orientales,12,11,8,3,7,10,5,2,6,4,9,1
Bas-Rhin,12,11,10,3,5,9,8,1,6,4,7,2
Haut-Rhin,12,11,10,3,5,9,8,1,6,4,7,2
Rhône,12,11,9,2,5,8,7,1,6,4,10,3
Haute-Saône,12,11,9,3,7,10,6,2,5,4,8,1
Saône-et-Loire,12,11,9,3,6,10,7,1,5,4,8,2
Sarthe,12,11,8,3,6,10,7,1,5,4,9,2
Savoie,12,11,9,3,5,10,7,1,6,4,8,2
Haute-Savoie,12,11,10,3,5,9,8,1,6,4,7,2
Paris,12,11,8,2,4,7,9,1,5,3,10,6
Seine-Maritime,12,11,7,3,5,10,8,1,6,4,9,2
Seine-et-Marne,12,11,9,1,6,10,8,2,5,4,7,3
Yvelines,12,11,9,2,6,10,7,1,5,4,8,3
Deux-Sèvres,12,11,8,3,4,10,7,1,5,6,9,2
Somme,11,12,7,3,6,10,8,2,5,4,9,1
Tarn,12,11,9,3,7,8,4,2,6,5,10,1
Tarn-et-Garonne,12,11,8,3,7,10,5,2,6,4,9,1
Var,12,11,9,3,6,10,7,2,5,4,8,1
Vaucluse,12,11,9,3,5,10,7,2,6,4,8,1
Vendée,12,11,9,3,6,10,7,1,5,4,8,2
Vienne,12,11,8,3,5,10,7,1,6,4,9,2
Haute-Vienne,12,11,7,3,8,9,5,1,6,4,10,2
Vosges,12,11,9,3,6,10,7,2,5,4,8,1
Yonne,12,11,9,3,6,10,7,2,5,4,8,1
Territoire de Belfort,12,11,9,3,6,10,7,2,5,4,8,1
Essonne,12,11,8,1,6,10,9,2,5,4,7,3
Hauts-de-Seine,12,11,7,2,6,9,8,1,5,4,10,3
Seine-Saint-Denis,12,11,7,1,5,10,8,2,6,4,9,3
Val-de-Marne,12,11,7,1,6,10,9,2,5,4,8,3
Val-d'Oise,12,11,7,1,6,10,8,2,5,4,9,3
